AskedPrice,FinalPrice,Surface,Number_room,Year,Month,Day
3750000,3655000,107,5,2014,05,09
3150000,3850000,106,5,2014,04,30
1650000,1690000,75,3,2014,04,29
1650000,1830000,70,2,2014,04,11
1650000,1915000,79,3,2014,04,03
3150000,3620000,126,4,2014,04,03
1350000,1300000,62.6,2,2014,03,16
3150000,3950000,140,5,2014,03,14
1650000,1910000,80,3,2014,03,06
2150000,2450000,100,4,2014,03,05
1150000,1220000,36,1,2014,02,26
1575000,1640000,80,3,2014,02,26
1500000,1745000,94.5,4,2014,02,14
1395000,1430000,62.6,2,2014,02,14
3195000,3550000,176,6,2014,02,12
1695000,1695000,68,2,2014,01,28
1395000,1590000,67,2,2014,01,23
1395000,1525000,62.6,2,2014,01,20
1395000,1400000,57,2.5,2014,01,17
1550000,1650000,76,3,2014,01,15
1295000,1655000,80,3,2014,01,11
1495000,1600000,72.5,3,2013,12,09
3100000,3472000,179,7,2013,11,29
2195000,2600000,83,3,2013,11,06
1095000,1330000,36,1.5,2013,11,04
1495000,1530000,66,2,2013,10,22
1950000,2100000,94.5,4,2013,10,16
2495000,3200000,176,7,2013,10,11
1695000,2000000,94.5,4,2013,09,26
1595000,1595000,68,2,2013,09,26
1700000,1940000,86.5,3,2013,09,16
1495000,1530000,79,3,2013,09,10
1695000,1800000,100,4,2013,09,05
1400000,1400000,58,2,2013,08,20
995000,1280000,36,1.5,2013,08,15
985000,1360000,47,1,2013,08,14
1400000,1800000,75,3,2013,08,01
1300000,1400000,57,2,2013,06,20
1149000,1200000,36,1,2013,06,07
995000,1220000,39,1,2013,06,06
1595000,1605000,80,3,2013,05,19
1395000,1530000,75,3,2013,05,12
1500000,1500000,77,3,2013,04,26
1200000,1200000,36,1,2013,04,26
950000,1150000,36,1,2013,03,28
1375000,1490000,57,2,2013,03,07
1095000,1380000,57,2,2013,02,08
1895000,2000000,94,4,2013,02,03
2700000,2750000,NaN,5,2012,11,21
